Sample Name	Run	Experiment	spots	bases	spots_with_mates	avgLength	size_MB	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	Platform	Model	SRAStudy	BioProject	Sample	BioSample
ICE120	SRR095718	SRX040803	13220037	1110483108	13220037	84	904	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155777	SAMN00194160
ICE120	SRR095719	SRX039065	20414266	2613026048	20414266	128	2136	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155777	SAMN00194160
ICE127	SRR095720	SRX040772	21233868	1783644912	21233868	84	1417	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155778	SAMN00194161
ICE127	SRR095721	SRX039066	12181606	1559245568	12181606	128	851	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155778	SAMN00194161
ICE130	SRR095722	SRX040773	12217182	1026243288	12217182	84	864	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155779	SAMN00194162
ICE130	SRR095723	SRX039067	13389698	1713881344	13389698	128	1065	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155779	SAMN00194162
ICE134	SRR095724	SRX040774	18345708	1541039472	18345708	84	1287	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155780	SAMN00194163
ICE134	SRR095725	SRX039068	20208248	2586655744	20208248	128	2083	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155780	SAMN00194163
ICE138	SRR095726	SRX040775	10811664	908179776	10811664	84	729	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155781	SAMN00194164
ICE138	SRR095727	SRX039069	20499258	2623905024	20499258	128	2004	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155781	SAMN00194164
ICE150	SRR095729	SRX040781	12162815	1021676460	12162815	84	881	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155782	SAMN00194165
ICE150	SRR095728	SRX039070	17298383	2214193024	17298383	128	1770	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155782	SAMN00194165
ICE152	SRR095730	SRX040784	19053821	1600520964	19053821	84	1324	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155783	SAMN00194166
ICE152	SRR095731	SRX039071	12774960	1635194880	12774960	128	893	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155783	SAMN00194166
ICE153	SRR095732	SRX040785	17664250	1483797000	17664250	84	1260	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155784	SAMN00194167
ICE153	SRR095733	SRX039072	22940732	2936413696	22940732	128	2250	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155784	SAMN00194167
ICE163	SRR095734	SRX039073	22940928	1927037952	22940928	84	1339	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155785	SAMN00194168
ICE169	SRR095736	SRX040788	12640929	1061838036	12640929	84	908	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155786	SAMN00194169
ICE169	SRR095735	SRX039074	17622669	2255701632	17622669	128	1792	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155786	SAMN00194169
ICE173	SRR095738	SRX040789	11376299	955609116	11376299	84	805	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155787	SAMN00194170
ICE173	SRR095737	SRX039075	17917166	2293397248	17917166	128	1864	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155787	SAMN00194170
ICE181	SRR095741	SRX040804	10281269	863626596	10281269	84	680	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155788	SAMN00194171
ICE181	SRR095740	SRX039077	14124954	1807994112	14124954	128	1247	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155788	SAMN00194171
ICE21	SRR095749	SRX040808	13913026	1168694184	13913026	84	1017	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155789	SAMN00194172
ICE21	SRR095750	SRX039081	19930546	2551109888	19930546	128	2095	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155789	SAMN00194172
ICE212	SRR095743	SRX040805	11530950	968599800	11530950	84	790	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155790	SAMN00194173
ICE212	SRR095744	SRX039078	17954620	2298191360	17954620	128	1674	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155790	SAMN00194173
ICE213	SRR095745	SRX040806	13807279	1159811436	13807279	84	877	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155791	SAMN00194174
ICE213	SRR095746	SRX039079	17744872	2271343616	17744872	128	1805	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155791	SAMN00194174
ICE216	SRR095747	SRX040807	14070308	1181905872	14070308	84	953	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155792	SAMN00194175
ICE216	SRR095748	SRX039080	16877989	2160382592	16877989	128	1702	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155792	SAMN00194175
ICE226	SRR095751	SRX040809	10270404	862713936	10270404	84	684	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155793	SAMN00194176
ICE226	SRR095752	SRX039082	2123380	271792640	2123380	128	104	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155793	SAMN00194176
ICE226	SRR095753	SRX039082	16503446	2112441088	16503446	128	1541	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155793	SAMN00194176
ICE228	SRR095754	SRX039083	16870878	2159472384	16870878	128	1535	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155794	SAMN00194177
ICE29	SRR095755	SRX041277	13240052	1112164368	13240052	84	903	WGS	RANDOM	GENOMIC	PAIRED	0	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155795	SAMN00194178
ICE29	SRR095756	SRX039084	15673399	2006195072	0	128	1445	WGS	RANDOM	GENOMIC	PAIRED	0	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155795	SAMN00194178
ICE33	SRR095757	SRX041483	11550371	970231164	11550371	84	780	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155796	SAMN00194179
ICE33	SRR095758	SRX039085	14698906	1881459968	14698906	128	1304	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155796	SAMN00194179
ICE36	SRR095759	SRX041484	17350669	1457456196	17350669	84	1192	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155797	SAMN00194180
ICE36	SRR095760	SRX039086	18467140	2363793920	18467140	128	1971	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155797	SAMN00194180
ICE49	SRR095761	SRX041485	11826085	993391140	11826085	84	852	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155798	SAMN00194181
ICE49	SRR095762	SRX039087	17784379	2276400512	17784379	128	1778	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155798	SAMN00194181
ICE50	SRR095763	SRX041486	9708147	815484348	9708147	84	669	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155799	SAMN00194182
ICE50	SRR095764	SRX039088	12879836	1648619008	12879836	128	962	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155799	SAMN00194182
ICE50	SRR095765	SRX039088	15933477	2039485056	15933477	128	1502	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155799	SAMN00194182
ICE60	SRR095766	SRX039089	12194551	1024342284	12194551	84	860	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155800	SAMN00194183
ICE60	SRR095767	SRX039089	163184	13707456	163184	84	6	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155800	SAMN00194183
ICE61	SRR095768	SRX041487	12289913	1032352692	12289913	84	889	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155801	SAMN00194184
ICE61	SRR095769	SRX039090	19048839	2438251392	19048839	128	1997	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155801	SAMN00194184
ICE63	SRR095770	SRX041488	12385686	1040397624	12385686	84	843	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155802	SAMN00194185
