sample_accession	secondary_sample_accession	run_accession	fastq_ftp
SAMN00194169	SRS155786	SRR095736	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095736/SRR095736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095736/SRR095736_2.fastq.gz
SAMN00194170	SRS155787	SRR095737	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095737/SRR095737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095737/SRR095737_2.fastq.gz
SAMN00194170	SRS155787	SRR095738	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095738/SRR095738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095738/SRR095738_2.fastq.gz
SAMN00194152	SRS155769	SRR095739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095739/SRR095739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095739/SRR095739_2.fastq.gz
SAMN00194171	SRS155788	SRR095740	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095740/SRR095740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095740/SRR095740_2.fastq.gz
SAMN00194171	SRS155788	SRR095741	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095741/SRR095741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095741/SRR095741_2.fastq.gz
SAMN00194152	SRS155769	SRR095742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095742/SRR095742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095742/SRR095742_2.fastq.gz
SAMN00194173	SRS155790	SRR095743	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095743/SRR095743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095743/SRR095743_2.fastq.gz
SAMN00194173	SRS155790	SRR095744	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095744/SRR095744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095744/SRR095744_2.fastq.gz
SAMN00194174	SRS155791	SRR095745	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095745/SRR095745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095745/SRR095745_2.fastq.gz
SAMN00194174	SRS155791	SRR095746	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095746/SRR095746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095746/SRR095746_2.fastq.gz
SAMN00194175	SRS155792	SRR095747	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095747/SRR095747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095747/SRR095747_2.fastq.gz
SAMN00194175	SRS155792	SRR095748	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095748/SRR095748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095748/SRR095748_2.fastq.gz
SAMN00194172	SRS155789	SRR095749	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095749/SRR095749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095749/SRR095749_2.fastq.gz
SAMN00194172	SRS155789	SRR095750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095750/SRR095750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095750/SRR095750_2.fastq.gz
SAMN00194176	SRS155793	SRR095751	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095751/SRR095751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095751/SRR095751_2.fastq.gz
SAMN00194176	SRS155793	SRR095752	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095752/SRR095752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095752/SRR095752_2.fastq.gz
SAMN00194176	SRS155793	SRR095753	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095753/SRR095753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095753/SRR095753_2.fastq.gz
SAMN00194177	SRS155794	SRR095754	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095754/SRR095754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095754/SRR095754_2.fastq.gz
SAMN00194178	SRS155795	SRR095755	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095755/SRR095755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095755/SRR095755_2.fastq.gz
SAMN00194178	SRS155795	SRR095756	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095756/SRR095756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095756/SRR095756_2.fastq.gz
SAMN00194179	SRS155796	SRR095757	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095757/SRR095757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095757/SRR095757_2.fastq.gz
SAMN00194179	SRS155796	SRR095758	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095758/SRR095758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095758/SRR095758_2.fastq.gz
SAMN00194180	SRS155797	SRR095759	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095759/SRR095759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095759/SRR095759_2.fastq.gz
SAMN00194180	SRS155797	SRR095760	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095760/SRR095760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095760/SRR095760_2.fastq.gz
SAMN00194181	SRS155798	SRR095761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095761/SRR095761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095761/SRR095761_2.fastq.gz
SAMN00194181	SRS155798	SRR095762	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095762/SRR095762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095762/SRR095762_2.fastq.gz
